"DIA","MES","PERIODO","accidentes"
10,10,2017,123
11,10,2017,98
12,10,2017,107
13,10,2017,125
14,10,2017,105
15,10,2017,69
16,10,2017,74
17,10,2017,132
18,10,2017,113
19,10,2017,101
20,10,2017,141
21,10,2017,139
22,10,2017,63
23,10,2017,118
24,10,2017,119
25,10,2017,134
26,10,2017,99
27,10,2017,139
28,10,2017,127
29,10,2017,64
30,10,2017,126
31,10,2017,148
1,11,2017,121
2,11,2017,132
3,11,2017,124
4,11,2017,115
5,11,2017,63
6,11,2017,62
7,11,2017,120
8,11,2017,123
9,11,2017,113
10,11,2017,102
11,11,2017,99
12,11,2017,71
13,11,2017,65
14,11,2017,153
15,11,2017,116
16,11,2017,158
17,11,2017,139
18,11,2017,122
19,11,2017,59
20,11,2017,109
21,11,2017,91
22,11,2017,138
23,11,2017,107
24,11,2017,130
25,11,2017,106
26,11,2017,74
27,11,2017,128
28,11,2017,122
29,11,2017,125
30,11,2017,123
1,12,2017,132
2,12,2017,125
3,12,2017,68
4,12,2017,118
5,12,2017,151
6,12,2017,116
7,12,2017,126
8,12,2017,76
9,12,2017,118
10,12,2017,70
11,12,2017,140
12,12,2017,120
13,12,2017,95
14,12,2017,105
15,12,2017,138
16,12,2017,114
17,12,2017,87
18,12,2017,132
19,12,2017,130
20,12,2017,137
21,12,2017,123
22,12,2017,141
23,12,2017,135
24,12,2017,79
25,12,2017,61
26,12,2017,105
27,12,2017,87
28,12,2017,107
29,12,2017,113
30,12,2017,80
31,12,2017,69
1,1,2018,60
2,1,2018,101
3,1,2018,100
4,1,2018,90
5,1,2018,83
6,1,2018,77
7,1,2018,42
8,1,2018,35
9,1,2018,94
10,1,2018,105
11,1,2018,91
12,1,2018,93
13,1,2018,64
14,1,2018,51
15,1,2018,111
16,1,2018,108
17,1,2018,129
18,1,2018,107
19,1,2018,131
20,1,2018,110
21,1,2018,79
22,1,2018,103
23,1,2018,111
24,1,2018,104
25,1,2018,104
26,1,2018,132
27,1,2018,94
28,1,2018,61
29,1,2018,90
30,1,2018,103
31,1,2018,93
1,2,2018,98
2,2,2018,161
3,2,2018,109
4,2,2018,64
5,2,2018,113
6,2,2018,120
7,2,2018,124
8,2,2018,111
9,2,2018,121
10,2,2018,107
11,2,2018,55
12,2,2018,142
13,2,2018,150
14,2,2018,123
15,2,2018,112
16,2,2018,132
17,2,2018,131
18,2,2018,71
19,2,2018,126
20,2,2018,111
21,2,2018,121
22,2,2018,125
23,2,2018,139
24,2,2018,99
25,2,2018,73
26,2,2018,113
27,2,2018,84
28,2,2018,112
1,3,2018,133
2,3,2018,117
3,3,2018,131
4,3,2018,72
5,3,2018,135
6,3,2018,128
7,3,2018,95
8,3,2018,87
9,3,2018,108
10,3,2018,121
11,3,2018,74
12,3,2018,127
13,3,2018,122
14,3,2018,113
15,3,2018,140
16,3,2018,125
17,3,2018,114
18,3,2018,66
19,3,2018,61
